filename,width,height,class,xmin,ymin,xmax,ymax
00000/00000_00000.jpg,29,30,twenty,5,6,24,25
00000/00000_00001.jpg,30,30,twenty,5,5,25,25
00000/00000_00002.jpg,30,30,twenty,5,5,25,25
00000/00000_00003.jpg,31,31,twenty,5,5,26,26
00000/00000_00004.jpg,30,32,twenty,5,6,25,26
00000/00000_00005.jpg,31,31,twenty,6,6,26,26
00000/00000_00006.jpg,33,34,twenty,6,6,28,28
00000/00000_00007.jpg,34,35,twenty,6,6,29,30
00000/00000_00008.jpg,33,34,twenty,5,5,28,29
00000/00000_00009.jpg,36,36,twenty,6,5,30,30
00000/00000_00010.jpg,35,36,twenty,5,5,30,31
00000/00000_00011.jpg,37,38,twenty,6,6,32,33
00000/00000_00012.jpg,37,38,twenty,5,6,32,33
00000/00000_00013.jpg,40,39,twenty,6,5,35,34
00000/00000_00014.jpg,41,42,twenty,5,6,36,37
00000/00000_00015.jpg,44,44,twenty,6,6,39,39
00000/00000_00016.jpg,46,44,twenty,6,5,41,39
00000/00000_00017.jpg,47,48,twenty,6,6,42,42
00000/00000_00018.jpg,50,48,twenty,5,5,45,43
00000/00000_00019.jpg,53,51,twenty,5,5,48,46
00000/00000_00020.jpg,57,54,twenty,6,5,51,49
00000/00000_00021.jpg,59,58,twenty,6,6,53,53
00000/00000_00022.jpg,63,61,twenty,6,5,57,56
00000/00000_00023.jpg,70,70,twenty,7,7,64,64
00000/00000_00024.jpg,76,76,twenty,7,7,70,70
00000/00000_00025.jpg,85,86,twenty,7,8,78,79
00000/00000_00026.jpg,97,97,twenty,8,8,89,88
00000/00000_00027.jpg,108,110,twenty,9,10,99,101
00000/00000_00028.jpg,124,127,twenty,10,11,113,116
00000/00000_00029.jpg,144,148,twenty,12,13,132,136
00000/00001_00000.jpg,29,30,twenty,6,6,24,25
00000/00001_00001.jpg,30,30,twenty,6,5,25,25
00000/00001_00002.jpg,30,29,twenty,6,5,25,24
00000/00001_00003.jpg,31,31,twenty,6,6,26,26
00000/00001_00004.jpg,31,31,twenty,5,5,26,26
00000/00001_00005.jpg,32,32,twenty,6,6,27,27
00000/00001_00006.jpg,33,34,twenty,5,6,28,29
00000/00001_00007.jpg,34,33,twenty,6,5,29,28
00000/00001_00008.jpg,33,33,twenty,5,5,28,28
00000/00001_00009.jpg,34,33,twenty,6,5,29,28
00000/00001_00010.jpg,36,35,twenty,6,5,30,29
00000/00001_00011.jpg,35,36,twenty,5,6,30,31
00000/00001_00012.jpg,36,36,twenty,6,6,31,31
00000/00001_00013.jpg,36,36,twenty,5,6,31,31
00000/00001_00014.jpg,37,36,twenty,5,5,31,31
00000/00001_00015.jpg,38,38,twenty,5,6,32,33
00000/00001_00016.jpg,38,39,twenty,5,6,33,34
00000/00001_00017.jpg,39,41,twenty,5,6,34,35
00000/00001_00018.jpg,40,41,twenty,5,6,35,36
00000/00001_00019.jpg,42,43,twenty,5,5,36,37
00000/00001_00020.jpg,43,43,twenty,6,5,38,38
00000/00001_00021.jpg,45,45,twenty,6,5,40,40
00000/00001_00022.jpg,45,47,twenty,5,6,40,42
00000/00001_00023.jpg,47,48,twenty,5,5,41,42
00000/00001_00024.jpg,49,49,twenty,6,5,44,44
00000/00001_00025.jpg,50,52,twenty,5,5,45,47
00000/00001_00026.jpg,53,54,twenty,6,5,48,49
00000/00001_00027.jpg,55,56,twenty,6,5,50,51
00000/00001_00028.jpg,57,59,twenty,5,6,51,54
00000/00001_00029.jpg,59,61,twenty,5,5,54,55
00000/00002_00000.jpg,27,26,twenty,6,5,22,21
00000/00002_00001.jpg,27,28,twenty,5,6,22,23
00000/00002_00002.jpg,27,28,twenty,5,6,22,23
